Source_A,Source_B
ALDH1A1,ALDH1A1
SRGN,CD44
GRB7,ERBB2
PAK1,ERBB2
PIK3R2,ERBB2
SMURF2,ARHGAP5
NF2,ERBB2
ERRFI1,ERBB2
MMP7,CD44
TOB1,ERBB2
MUC4,ERBB2
SMURF2,TXNIP
CD4,CD44
CBL,VAV1
MAPK1,VAV1
BTK,VAV1
TGFBR1,CD44
SYK,VAV1
SHB,VAV1
PRKCQ,VAV1
IL6ST,VAV1
SLA,VAV1
EZH2,VAV1
LCP2,VAV1
TGFBR2,CD44
ZYX,VAV1
SIAH2,VAV1
LAT,VAV1
ARHGDIB,VAV1
SOCS1,VAV1
AOC3,VAV1
NEK3,VAV1
CBLB,VAV1
BLNK,VAV1
RACGAP1,VAV1
PAG1,VAV1
DOCK2,VAV1
SMURF2,FAM175B
SMURF2,ACBD3
YES1,YES1
PECAM1,YES1
CD36,YES1
MST1R,YES1
OCLN,YES1
CD2AP,YES1
SMURF2,SF3A2
TP53BP2,YES1
TIAM1,CD44
ELF1,REL
SMURF2,TMEM139
SMURF2,LAPTM5
MAPK8,REL
SMURF2,SNRNP70
SMAD7,ZBTB44
GTF2B,REL
ARHGEF1,CD44
SMAD7,SOX5
SMAD7,ASH1L
REL,CALM1
SMAD7,SOX13
KIT,KIT
LYN,KIT
PIK3R1,KIT
PTPN11,KIT
NF2,CD44
PRKCA,KIT
KITLG,KIT
KIT,STAT1
PTPRO,KIT
GRB7,KIT
GRB10,KIT
PIK3R2,KIT
SOCS1,KIT
SH2B3,KIT
MPDZ,KIT
SPRED1,KIT
LCK,CD38
STAP1,KIT
SH2B2,KIT
SPRED2,KIT
FGR,FGR
CBL,FGR
WAS,FGR
CD24,FGR
SYK,FGR
PTK2,FGR
PECAM1,CD38
FGR,HCLS1
SLAMF1,FGR
INPP5D,FGR
FBXW7,NOTCH4
CD4,CD38
NOTCH1,NOV
DLL1,NOV
S100A4,NOV
NFATC1,PIM1
PTPRO,PIM1
CBX3,PIM1
FZD5,WNT5A
FZD1,WNT5A
ABL1,ROS1
VAV3,ROS1
FLT1,FLT1
KDR,FLT1
VEGFA,FLT1
PLCG2,FLT1
SHC1,FLT1
PGF,FLT1
VEGFB,FLT1
GNAI3,CD59
ATR,FLT1
ERG,ERG
SPI1,ERG
FLI1,ERG
ETV1,ERG
SMAD7,TTF1
SOS1,RRAS
NCK1,RRAS
CD9,CD59
EPHB2,RRAS
RALGDS,RRAS
RASSF5,RRAS
NAV2,RRAS
RASIP1,RRAS
COL4A5,OSM
IL6ST,OSM
OSMR,OSM
CD2,CD59
LYN,LYN
CBL,LYN
PECAM1,LYN
CD36,LYN
LYN,PRKCD
LYN,BTK
CD24,LYN
LYN,SYK
PDE4A,LYN
LYN,PLCG2
PRKCQ,LYN
SHC1,LYN
PTK2,LYN
SLC6A8,CD59
PRKDC,LYN
PIK3CG,LYN
LYN,HCLS1
LCP2,LYN
LYN,MAP4K1
KHDRBS1,LYN
LYN,RGS16
SKAP1,LYN
SKAP2,LYN
PAG1,LYN
GAB2,LYN
PRAM1,LYN
PPP1R15A,LYN
LYN,FCGR2B
INPP5D,LYN
BANK1,LYN
EVL,LYN
NEDD9,LYN
CHST15,LYN
SH2B2,LYN
DOK3,LYN
JUN,JUN
SPI1,JUN
MAF,JUN
RB1,JUN
CD5,CD72
NFYA,JUN
ABL1,JUN
TPM1,JUN
AR,JUN
RUNX2,JUN
STAT1,JUN
STAT4,JUN
HMGA1,JUN
PRKDC,JUN
SMAD4,JUN
MAPK8,JUN
NACA,JUN
SMAD2,JUN
SEMA4D,CD72
FOSL2,JUN
SMARCD1,JUN
VDR,JUN
SUMO1,JUN
NCOA3,JUN
NRIP1,JUN
TGIF1,JUN
NCOA1,JUN
BLNK,CD72
EP300,JUN
MAPK9,JUN
TSC22D3,JUN
SMAD3,JUN
DHX9,JUN
ATF3,JUN
SERPINA3,SERPINA3
PRKD1,JUN
DDX21,JUN
SPIB,JUN
HHEX,JUN
MAFB,JUN
RFWD2,JUN
CTSG,SERPINA3
GTF2B,JUN
UBE2I,JUN
RBM39,JUN
BATF,JUN
CREB5,JUN
TPM2,JUN
PIAS1,JUN
JDP2,JUN
SNRK,JUN
SMAD5,SF3B1
MAPK14,JUNB
SMAD4,JUNB
MAPK8,JUNB
FOSL2,JUNB
SMAD3,JUNB
BATF,JUNB
JDP2,JUNB
NFE2L2,JUND
SMAD4,JUND
MAPK8,JUND
FOSL2,JUND
MAPK9,JUND
ATF3,JUND
RFWD2,JUND
BATF,JUND
JDP2,JUND
MMP1,SERPINA3
SMAD5,SMAD4
CEBPB,SPI1
NONO,SPI1
IRF8,SPI1
IRF4,SPI1
SPIB,SPI1
SMAD5,SMAD1
HDAC1,MECOM
CTBP1,MECOM
CTBP2,MECOM
SMAD3,MECOM
HDAC4,MECOM
KAT2B,MECOM
MST1,SERPINA3
SMAD5,SFPQ
SMAD4,GLI3
SMAD2,GLI3
SMAD1,GLI3
SMAD3,GLI3
STK36,GLI3
SMAD4,SKIL
ERBB2,SERPINA3
SMAD2,SKIL
SMAD3,SKIL
CDC16,SKIL
CPNE2,SKIL
SMURF2,SKIL
CBL,CBL
ZAP70,CBL
ITK,CBL
ABL1,CBL
NOTCH1,CBL
BTK,CBL
F5,SERPINA3
SH3KBP1,CBL
SYK,CBL
NCK1,CBL
SHC1,CBL
SLA,CBL
UBE2G1,CBL
POLA1,SERPINA3
LCP2,CBL
SPRY2,CBL
KHDRBS1,CBL
EPHB6,CBL
UBE2D2,CBL
UBE2G2,CBL
PIK3R2,CBL
UBE2L3,CBL
CD2AP,CBL
SORBS1,CBL
SLA2,CBL
PTPN22,CBL
FRS2,CBL
EIF5B,CBL
DNAJC1,SERPINA3
CDKL2,CBL
UBASH3B,CBL
PGGT1B,RHOB
RHPN2,RHOB
ARHGEF3,RHOB
ATN1,PSMA3
RHOA,RHOA
